1	2734	64
1	4421	1
1	4422	8
1	4423	32
1	4424	30
1	4425	87
1	4426	90
1	4427	93
1	4428	19
1	4429	45
1	442A	55
1	442B	51
1	442C	48
1	442D	57
1	442E	81
1	442F	11,2
1	4430	83
1	4431	24
1	4432	20
1	4433	37
1	4434	84
1	4435	1,19
1	4436	1,37
1	4437	110
1	4438	38,1
1	4439	3,70
1	443A	136
1	443B	57,6
1	443C	132
1	443D	5,88
1	443E	154
1	443F	42,8
1	4440	96
1	4441	67,15
1	4442	1,55
1	4443	81,6
1	4444	64,6
1	4445	126
1	4446	84,6
1	4447	119
1	4448	99
1	4449	101
1	444A	135
1	444B	105
1	444C	155
1	444D	162
1	444E	163
1	444F	168
1	4450	113
1	4451	159
